0.00 3.10 SPEAKER_03  Hello everybody and welcome to this November.
3.78 11.60 SPEAKER_03  Lex on Red. It is Riley. It is Alice who I see on Zencaster. It is Kirsten Dunst.
11.98 20.32 SPEAKER_02  Yeah, I'm bringing pun names back. That's going to be a thing I do in the Zencaster from now on until my co-workers murder me with an axe to stop me from doing it.
20.58 24.00 SPEAKER_03  No, you're just trying to get a job at Mad Magazine circa 2002.
24.56 24.94 SPEAKER_03  That's right.
25.06 27.10 SPEAKER_03  Some call it the height of Mad Magazine.
27.10 32.04 SPEAKER_03  And also we are joined by friend of the show and writer Min Straussman.
32.34 39.44 SPEAKER_01  I don't have a punny name. I didn't realize that was required. No one told me.
39.56 41.82 SPEAKER_02  It's not. That's an extracurricular on my part.
41.90 43.24 SPEAKER_01  Okay, okay, cool.
43.62 51.16 SPEAKER_03  And we have read in between our sort of dalliances to the Christmas shopping store.
52.64 56.46 SPEAKER_02  I already don't want to talk about this. What's your Christmas shopping been like, Riley?
56.46 57.74 SPEAKER_02  Oh, my Christmas shopping.
57.74 61.22 SPEAKER_02  Yeah, let's just divert off into this. Let's catch up, you know?
61.30 71.48 SPEAKER_03  Okay. How's my Christmas shopping been? It's been good. I've decided to decorate the house with trees and baubles and in one case a wicker tree skirt.
73.32 74.34 SPEAKER_02  Hold on, hold on.
74.34 83.98 SPEAKER_02  I know we're getting to somewhere else with this, right? But like, a wicker tree, why? To do amphibious landings with the trees? Why?
85.32 87.56 SPEAKER_02  Wait, what do you think wicker is?
87.72 95.70 SPEAKER_02  Are the trees naked otherwise? Is it embarrassing for a tree not to have a skirt? Is there some tree etiquette?
95.70 98.72 SPEAKER_00  Yes, there is tree etiquette. It's got to have a skirt.
99.70 102.38 SPEAKER_03  I'm messing up my tree etiquette so badly, dude.
102.38 112.08 SPEAKER_03  And the other thing that's going to happen is I, like it happens every year, I'm going to receive a bunch of wine-themed things that aren't wine.
112.52 124.46 SPEAKER_03  Because everyone says, oh, well, we can't just get in wine. We have to get in Viticulture, a cooperative European-style board game with 90,000 different tokens that is about winemaking.
124.46 129.72 SPEAKER_03  Like, I'm serious. You can get, like, if you roll well enough, you'll make a sparkling wine in Viticulture.
129.90 136.28 SPEAKER_02  How many copies of the Viticulture board game do you have at this point?
137.06 138.44 SPEAKER_03  One so far.
139.00 144.18 SPEAKER_02  And rising, you know, as I log on to Amazon to buy you another one.
144.42 158.14 SPEAKER_03  It's great. It's like, there are weather tokens, there are alcohol counters, there's like, the whole point of the game is, you're trying to, like, assign resources to make as good of a wine as possible.
158.34 160.70 SPEAKER_03  But if you try to make too good of a wine, you won't make much.
161.00 164.46 SPEAKER_03  It's just true. Like, that's just how it happens in real life.
164.46 174.02 SPEAKER_03  But to represent this whole process as a board game requires, like, a heroic level of abstraction.
174.70 181.18 SPEAKER_03  Yeah, it doesn't require a Battle for North Africa level of rulemaking, but it certainly does require a lot of different tokens.
181.92 182.48 SPEAKER_02  Outstanding.
182.48 188.72 SPEAKER_02  Min, any, like, Christmas shopping contributions? What's the vibe in Paris?
188.96 192.76 SPEAKER_01  The only Christmas shopping I've done is getting you your present.
193.58 194.12 SPEAKER_01  Well, thank you.
194.18 195.80 SPEAKER_01  So that's as far as I've gotten.
195.80 197.96 SPEAKER_02  You got me a copy of Viticulture.
198.42 200.90 SPEAKER_01  I did. I'm like, Riley, I can't believe you told her.
202.62 205.74 SPEAKER_01  Yes. So that is as far as I've gotten.
205.82 207.84 SPEAKER_01  I'm not very good at present shopping.
207.84 212.64 SPEAKER_01  I always kind of, like, blank on what to get people and then panic at the last minute.
213.36 216.04 SPEAKER_01  And I'm just, like, not very good in general at getting gifts.
216.24 217.40 SPEAKER_01  So it's all...
217.40 220.26 SPEAKER_01  I did have to go to a couple bookstores for work.
220.26 228.46 SPEAKER_01  And that was panic-inducing because Parisian bookstores right before Christmas, it's like a madhouse in there.
228.58 240.24 SPEAKER_01  It's like those scenes from, like, you know, Black Friday in the States where, like, there's two women fighting over Turkey, except for, like, it's the last, you know, play ad edition of, you know, Foucault or something.
240.80 241.86 SPEAKER_01  It's harrowing.
241.86 244.98 SPEAKER_01  So I've had a little bit of that experience recently.
246.68 248.02 SPEAKER_03  And what about you, Alice?
248.16 249.08 SPEAKER_03  Tell us...
249.08 251.74 SPEAKER_03  You seem to wish to talk about Christmas shopping.
251.90 253.32 SPEAKER_03  I assume it's for a reason.
253.86 254.90 SPEAKER_03  What have you done?
255.30 255.58 SPEAKER_02  Yeah.
255.78 256.48 SPEAKER_02  No, I...
256.48 270.08 SPEAKER_02  So my new thing that I'm experimenting with is I'm asking people directly what they want and then getting it for them and sort of conquering the social anxiety of that moment, right?
270.08 275.70 SPEAKER_02  Where I just sort of, like, lay my cards on the table and I say, like, what is...
275.70 278.96 SPEAKER_02  I am not smart enough to intuit anything about you.
279.20 281.16 SPEAKER_02  What is the thing that you want?
281.60 283.60 SPEAKER_02  And then I get it for them, you know?
283.84 286.68 SPEAKER_02  And that could be fucking anything, you know?
287.48 288.76 SPEAKER_00  Could be a luxury vibrator.
289.40 290.90 SPEAKER_03  A luxury vibrator, yeah.
291.38 295.44 SPEAKER_03  This was a business idea that we were discussing sort of at the...
295.44 297.32 SPEAKER_03  Before we started recording, which is...
297.32 306.44 SPEAKER_03  You noticed that there is a huge market in, like, luxury sex toys for AFAB people.
306.44 308.56 SPEAKER_02  Yeah, if you want to buy a vibrator, right?
308.76 311.10 SPEAKER_02  Or, like, we can express it in, like, all kinds of terms.
311.16 315.80 SPEAKER_02  If you want to buy a vibrator or, like, some kind of penetrative sex toy, right?
315.94 318.40 SPEAKER_02  On the high end, you have a lot of options.
318.52 326.86 SPEAKER_02  You can spend, you know, hundreds and hundreds of pounds on this sort of beautiful objet d'art that also, like, fucks you, right?
328.90 330.06 SPEAKER_02  Personally, not my thing.
330.16 332.60 SPEAKER_02  I bought the cheapest one they have.
332.66 335.86 SPEAKER_02  It's like a Kalashnikov and it serves in exactly the same sort of, like...
335.86 336.34 SPEAKER_02  Yeah, it's gas powered.
336.34 338.76 SPEAKER_02  ...mix of reliability, pretty much, yeah.
339.26 341.44 SPEAKER_02  It proliferates all over the world.
341.78 343.14 SPEAKER_02  It's on a lot of flags.
344.28 345.80 SPEAKER_02  Yeah, absolutely reliable.
345.94 346.82 SPEAKER_02  Requires no maintenance.
346.82 353.84 SPEAKER_02  But, yeah, you can buy these things that are, like, trimmed in, like, gold or ermine or whatever.
354.48 355.76 SPEAKER_02  But then that's fine.
356.54 359.02 SPEAKER_03  No, you can't buy the ermine trimmed one.
359.12 361.16 SPEAKER_03  You need to be given it when you're elevated.
362.26 372.92 SPEAKER_02  But I've noticed there's a kind of, there's a gap in the market for, let's say, the elevated luxury sex toy that you penetrate rather than that is penetrative.
372.92 383.82 SPEAKER_02  There's no, as far as I know, I'm willing to be corrected, and I say this entering the sixth minute of a podcast nominally about a book we haven't started talking about yet, as far as I know, there's no luxury flashlight.
384.44 384.62 SPEAKER_02  Right?
384.78 390.08 SPEAKER_02  And you'd think there would be, uh, you know, a niche for that.
390.50 398.72 SPEAKER_02  Because, you know, people who want to fuck a flashlight like luxury objects too, I assume.
398.72 411.90 SPEAKER_02  Is it, I don't know why, maybe there's something inherently kind of more shameful and repellent about this that you would, because, like, seeing a fancy vibrator on an end table, you're like, oh, these are sex people, but, like, in a classy way.
412.16 416.06 SPEAKER_02  Seeing a flashlight on an end table, you're like, I, no, this is bad.
416.30 417.34 SPEAKER_02  This is immediately bad.
417.40 420.98 SPEAKER_03  Yeah, you're like, I have to get out of, I have to get far away from this end table.
421.38 421.66 SPEAKER_03  Yes.
421.66 423.34 SPEAKER_03  Or else it could be my end.
423.34 423.94 SPEAKER_03  Yeah.
425.74 431.46 SPEAKER_03  There's no, um, there, we haven't gentrified, we have not gentrified the flashlight.
431.96 432.06 SPEAKER_03  No.
432.18 434.74 SPEAKER_03  And I, for one, think, because, you know, what else we've gentrified?
434.90 440.16 SPEAKER_03  We've gentrified other things that are considered to be, like, embarrassing, like, um, Rogaine, right?
440.20 440.42 SPEAKER_02  Sure.
440.56 447.34 SPEAKER_03  That's been gentrified in the same way that most things, most of these products are gentrified, which is dark packaging, embossed gold lettering.
447.68 448.76 SPEAKER_03  Everything else is the same.
449.08 450.02 SPEAKER_02  Yeah, yeah, yeah, for sure.
450.02 462.68 SPEAKER_02  But in this case, you know, you would think the flashlight, you know, okay, maybe there's some sort of tension between luxury and hygiene there, but surely the outside, you can make that out of, like, a Carrera marble or something.
463.28 466.34 SPEAKER_02  That is, sorry, that is the funniest possible material.
466.94 472.06 SPEAKER_02  Yeah, I reached for a classy material and my mind was briefly possessed by Donald Trump.
472.36 477.28 SPEAKER_02  I was like, yeah, why don't you have Carrera marble or some, like, red velvet spray paint bits of it gold?
478.00 478.48 SPEAKER_03  Perfect.
478.48 480.16 SPEAKER_03  Yeah, the executive flashlight.
480.40 484.34 SPEAKER_03  I like that the executive flashlight is the two things you want out of a flashlight.
484.56 485.78 SPEAKER_03  It's heavy and cold.
487.88 491.66 SPEAKER_03  Listen, I don't know what people want with these things.
491.88 492.06 SPEAKER_03  Yeah.
492.06 496.96 SPEAKER_03  I think personally, you could trim it the outside in Corinthian leather.
497.84 502.48 SPEAKER_03  And then again, you maybe you could emboss your name on it or not.
503.86 509.02 SPEAKER_02  But like a little, like, engraved, like metal nameplate, like stitched into the thing.
509.02 511.98 SPEAKER_03  Or, I promise we're going to talk about the book in a second.
512.32 516.62 SPEAKER_03  You could get like, you know how like Tiffany's has those, if found, please return to Tiffany's.
516.74 517.44 SPEAKER_03  Oh my God.
518.78 522.70 SPEAKER_02  The Tiffany blue and sterling silver flashlight.
523.98 524.50 SPEAKER_02  Okay.
525.02 525.52 SPEAKER_02  Okay.
525.52 527.86 SPEAKER_02  We're, we're so good at this.
527.94 528.38 SPEAKER_02  Yeah.
528.38 531.58 SPEAKER_02  I would say we are prepped to record now.
531.94 534.48 SPEAKER_02  Um, what do you mean we've been recording this whole time?
534.48 541.78 SPEAKER_03  Um, no, we are, we are taught, we're continuing our, um, a note, by the way, on episode releases.
542.00 545.24 SPEAKER_03  We are going to go back to two a month, uh, in January.
545.24 547.58 SPEAKER_02  This is a big kind of like, please don't be mad at us.
547.64 548.90 SPEAKER_02  We're trying our best thing.
549.20 549.56 SPEAKER_02  Yeah.
549.72 551.80 SPEAKER_02  This is happening to me a lot lately.
552.26 552.48 SPEAKER_02  Yeah.
552.52 556.72 SPEAKER_03  And also I was very, very, very sick towards the end of November.
556.72 566.32 SPEAKER_02  I mean, the thing is we, we always have good reasons, but as it's been like this with the, whether there's your problem as well, where it's like every time I am not putting out stuff to schedule, I feel like the bastard of earth.
566.86 569.74 SPEAKER_02  Um, so please accept our heartfelt apologies.
570.38 576.58 SPEAKER_02  Uh, we will be entering you by way of compensation to a, into a prize draw for the executive CEO of Flashlights.
577.94 581.40 SPEAKER_03  But if you don't use it yourself, then you can just sell it on.
582.02 583.20 SPEAKER_02  Yeah, exactly.
583.38 584.62 SPEAKER_02  You can just give it to someone else.
584.76 585.06 SPEAKER_02  Yeah.
585.06 586.66 SPEAKER_02  A gifted flashlight.
587.30 595.86 SPEAKER_03  So, but this is, anyway, we will, we will be back in the normal schedule as of next month when the holidays end and, and my tummy settles, which it has.
596.40 597.44 SPEAKER_03  Um, your valve.
597.86 599.00 SPEAKER_03  Yeah, my valve, my valve.
599.14 603.72 SPEAKER_03  I had such a valve problem, which is so relevant to the book we're talking about.
603.72 624.76 SPEAKER_03  It was, um, John Kennedy tools first and only book that was just found after his death and then published, um, a Confederacy of dunces, which I think is a kind of companion piece to our William Morris discussion, because it's another book about a weird guy who looks at the modern world and says, this should be more medieval.
624.76 625.36 SPEAKER_03  Yeah.
625.80 628.00 SPEAKER_02  Take me back to the 1350s.
629.14 630.68 SPEAKER_01  It was the best of times.
630.78 631.82 SPEAKER_01  It was the worst of times.
631.98 649.08 SPEAKER_03  And that's a different, um, so, so we are all, we're all here because, um, I said we should read this book, uh, because it's a, an old favorite of my mother's as well, just as a, a silly book, but unlike the, uh, William Morris, it is fiction.
649.08 656.46 SPEAKER_03  Um, and I, I had one, um, one sort of quote just to start us off from early on in the, in this work.
656.78 659.22 SPEAKER_03  Um, then we'll start talking about character and setting and so on.
659.56 659.80 SPEAKER_03  Ahem.
660.54 668.38 SPEAKER_03  Uh, some, this is, uh, Ignatius, the main character talking about his experience of being broadly hated at university.
669.20 672.20 SPEAKER_03  Uh, his mother says, they was nice to you at college, Ignatius.
672.30 673.02 SPEAKER_03  Now tell the truth.
673.06 674.54 SPEAKER_03  They let you hang around there a long time.
674.62 675.86 SPEAKER_03  They even let you teach a class.
676.36 678.52 SPEAKER_03  Uh, Ignatius saying about how miserable it was.
678.52 679.64 SPEAKER_03  Oh, it was basically the same.
680.10 685.10 SPEAKER_03  Some poor white from Mississippi told the Dean that I was a propagandist for the Pope, which was patently untrue.
