0.00 15.88 SPEAKER_02  I anticipated the beat a little bit now.
16.34 17.62 SPEAKER_02  Yeah, that's fine. We're all good.
18.26 23.04 SPEAKER_02  That's fine. I'll just seem slightly smarter because my punchlines will come in like a half second early.
23.68 28.98 SPEAKER_01  This is Alice Caldwell-Kelly's one trick for podcasting success.
28.98 32.08 SPEAKER_02  Yeah, I'm like min-maxing the podcast, you know?
32.44 35.12 SPEAKER_01  Well, hello everybody. It's time for TF.
35.52 39.12 SPEAKER_01  It is the first episode we are recording of 2024.
40.08 42.40 SPEAKER_01  Is it a free or a bonus episode, this one?
42.48 43.58 SPEAKER_01  It is a free one.
44.04 45.26 SPEAKER_01  It's the free one.
45.72 49.86 SPEAKER_01  It's the free one. And because Alice is saying that, Milo is not here.
49.98 53.34 SPEAKER_01  And also Hussein is not here. That's right. It's just Riley and Alice.
53.70 55.46 SPEAKER_02  Real skeleton crew hours.
55.92 57.26 SPEAKER_01  Yes, that's right.
57.26 63.64 SPEAKER_01  And joining us is the man who has become our Middle East correspondent.
63.98 66.18 SPEAKER_01  It is Seamus Malikovselli. Seamus, how's it going?
66.70 72.46 SPEAKER_03  It's good to be on Trash Future for, I think, the 17th time in my entire life.
72.48 74.18 SPEAKER_02  Yeah, I'm just certainly making it feel that way, you know?
74.26 74.72 SPEAKER_02  Yeah, yeah, yeah.
74.72 81.36 SPEAKER_02  Obviously, we, you know, welcome you back as now, I think, a sort of Platinum Onyx Club member.
81.36 87.32 SPEAKER_02  You're entitled to three free well drinks in the lounge.
88.70 89.06 SPEAKER_02  Pretty good.
89.18 95.24 SPEAKER_02  Yeah, no, always, always a delight to have you on to talk about some of the problems.
96.02 96.46 SPEAKER_03  Yes.
96.46 104.72 SPEAKER_03  As always, I think it's very good to be on a program that keeps updates for Neon when I have entirely checked out for my own sanity.
105.38 106.46 SPEAKER_02  This is the thing, right?
106.48 107.20 SPEAKER_02  We just do this.
107.28 115.56 SPEAKER_02  We just find guests and we devise, like the guy from the Saw movies, the perfect sort of torture for them psychologically.
115.94 117.90 SPEAKER_02  And then we just lock them into that forever.
117.90 124.26 SPEAKER_02  Poor Nish Kumar is stuck with, like, us reading politicians' books, and then we've selected Neon for you.
124.54 130.70 SPEAKER_03  Yeah, the new name for the newest shape that they're building in Neon is buried behind my left eye.
131.24 136.02 SPEAKER_03  And the only way I'm going to know about it is if I stab my own eye and get it out.
138.04 144.40 SPEAKER_02  I mean, when you think about it, MBS was doing Saw stuff to Jamal Khashoggi, so it fits, right?
144.92 145.40 SPEAKER_05  Sure.
145.40 149.64 SPEAKER_02  You have always valued innovation and disruption about your own family.
150.66 154.46 SPEAKER_02  In many ways, reading your columns was like having all of your limbs bone soared off.
155.60 157.90 SPEAKER_02  Would you turn yourself into a line?
162.98 165.14 SPEAKER_01  I have the flu, so I'm delirious.
165.54 167.22 SPEAKER_02  No, I'm right there with you.
167.32 169.60 SPEAKER_02  This is my first of three podcasts today.
169.80 172.60 SPEAKER_02  I look forward to my complete mental disintegration.
172.60 178.94 SPEAKER_01  I think we've only picked three people that we routinely subject to the strangest stuff in the world.
179.12 182.04 SPEAKER_01  That's Nish, that's Seamus, and then Maddie for Eric Adams.
182.46 183.12 SPEAKER_02  That's true.
183.30 183.94 SPEAKER_02  Yeah, yeah, yeah.
185.36 186.50 SPEAKER_02  So, look.
186.86 188.14 SPEAKER_02  I've chosen victims.
188.14 194.40 SPEAKER_01  Why don't we, because we're already talking about it, let's start with some Neom stuff.
195.40 197.40 SPEAKER_02  Get the vegetables out of the way first.
198.10 198.66 SPEAKER_01  Yeah, of course.
198.74 200.22 SPEAKER_01  The vegetables of Neom.
201.50 206.14 SPEAKER_01  Because you might be thinking, hey, you've been talking about Neom an awful lot recently.
206.14 212.56 SPEAKER_02  Yes, because we're both subscribed to the YouTube channel for sort of masochistic work reasons.
212.76 219.98 SPEAKER_02  And so, both of us get an alert on our phones whenever they release a new trailer, which they've been doing every few days now.
220.38 220.56 SPEAKER_01  Yeah.
220.80 225.28 SPEAKER_01  And we would be saving this for later, except Seamus is on, so we gotta do it.
225.28 235.94 SPEAKER_01  We have the, and I don't know if you can believe this, but they have created another luxury lifestyle destination.
236.44 237.06 SPEAKER_01  Oh, really?
237.26 237.94 SPEAKER_01  It's crazy.
238.24 240.52 SPEAKER_03  You guys are fucking lying to me.
242.46 243.94 SPEAKER_03  Obsequious bullshit.
244.16 245.00 SPEAKER_03  But all right, fine, man.
245.18 246.56 SPEAKER_03  You can tell me about this.
246.60 247.32 SPEAKER_03  I'm not gonna believe it.
247.32 258.02 SPEAKER_01  Yeah, so I was really excited when they released their new plans for, like, Topian, which was how they're gonna reinvent dinner for Neom.
258.14 258.92 SPEAKER_01  It's called Topian?
259.68 260.54 SPEAKER_02  Yeah, Topian.
260.68 261.70 SPEAKER_01  The food zone.
261.84 262.62 SPEAKER_01  The eating zone.
262.86 263.12 SPEAKER_02  Yeah.
263.26 264.40 SPEAKER_02  You know, the meal district.
264.80 267.38 SPEAKER_01  Yeah, I thought that was pretty boss.
267.88 275.28 SPEAKER_01  But then, the problem is, they went from that, which I was like, okay, great, you've got the zing and the energy of the line back.
275.28 277.62 SPEAKER_01  Okay, we got the cube.
277.78 279.34 SPEAKER_01  We have all this exciting stuff.
279.52 281.76 SPEAKER_01  We're no longer just making different shapes of hotel.
282.06 284.70 SPEAKER_01  We're back in business, making cool things.
285.12 286.70 SPEAKER_01  But now, they've come back out.
286.82 295.50 SPEAKER_01  They're like, hey, we've just released another luxury lifestyle community that's even more like a normal American gated community than anything else we've come out with so far.
295.62 298.18 SPEAKER_02  I mean, this is sort of a grim development, right?
298.22 302.86 SPEAKER_02  Because the more like a subdivision it is, the more likely it is to actually get built.
303.12 303.82 SPEAKER_03  Yeah, yeah, yeah.
303.82 316.18 SPEAKER_02  And if Neom turns out to be a bunch of places that could as well be in Scottsdale, and like a meter of line at the center of it, that's just sort of the perfect ending.
316.48 322.40 SPEAKER_03  You also have to remember that, as of a couple months ago, Saudi Arabia has the World Cup.
322.70 326.94 SPEAKER_03  In 2034, they will host the World Cup, and they also are hosting the Asian Winter Games.
326.94 335.12 SPEAKER_03  So, the line itself, obviously, that's never getting made in the full capacity that it was envisioned as.
335.30 338.44 SPEAKER_03  Neom, obviously, not in the full capacity, but it's envisioned as.
338.90 341.14 SPEAKER_03  But yeah, you can absolutely build hotels.
341.84 346.76 SPEAKER_03  You can absolutely build little gated communities, little resorts, you know, buried up in these mountains.
347.22 347.92 SPEAKER_03  They know that.
347.92 354.12 SPEAKER_03  And the more space you have to host people, the more tourists you can have in.
354.22 356.18 SPEAKER_03  I mean, this is what Qatar did in 2022.
356.40 360.02 SPEAKER_03  They literally built an entirely new city called Lusail.
360.32 369.38 SPEAKER_03  They built tons of hotels, which also led—and they needed so much space that they were kicking out expats.
369.54 374.32 SPEAKER_03  Landlords are kicking out expats by raising their rent by thousands of dollars because they needed that much space.
374.32 376.04 SPEAKER_03  So, yeah, no, no, no, no.
376.16 378.50 SPEAKER_03  Like, yeah, this is something that they can build.
378.94 380.42 SPEAKER_03  This is something that they can build soon.
380.54 390.68 SPEAKER_03  And they know that there are enough rich people who will absolutely want vacation in glorious northwestern Saudi Arabia.
390.92 391.16 SPEAKER_03  Yeah.
391.72 413.30 SPEAKER_02  And I mean, aside from that, the rich people on the other end of this are, like, all of the architecture firms who are competing for Neom stuff, who haven't been able to get the, like, big ticket, like, we are going to build you the line, we are going to build you the oxygon, can now compete on we are going to build you the best, weirdest subdivision in the world.
413.46 418.88 SPEAKER_01  Oh, and don't get me wrong, Norlana, the newest one, is also weird and impossible.
