0.00 3.70 SPEAKER_00  Hello and welcome to the first Left on Red of 2024.
4.78 11.24 SPEAKER_00  We're back in the reading room, in the library, and joined by Riley, as always.
11.68 11.88 SPEAKER_00  Hello.
12.24 16.98 SPEAKER_00  And what we've picked out this time, I don't even remember whose choice this was, might have been mine.
17.76 18.32 SPEAKER_01  It was yours.
18.32 24.60 SPEAKER_00  Yeah, it was Benjamin Labattus' When We Cease to Understand the World, which I came upon by pure chance.
24.80 29.40 SPEAKER_00  It's sort of, if I had to describe this, I would say this is a kind of scientific horror.
30.00 30.18 SPEAKER_00  Right?
30.38 34.42 SPEAKER_00  But not in the way that that sort of immediately suggests.
34.76 34.84 SPEAKER_00  Right?
34.94 35.70 SPEAKER_00  It's about...
35.70 36.70 SPEAKER_00  It's not Blindsight.
36.82 37.22 SPEAKER_00  Right.
37.32 37.56 SPEAKER_00  No.
37.80 38.72 SPEAKER_00  I mean, this is the thing.
38.78 41.58 SPEAKER_00  You compare all books to Blindsight by Peter Watts.
42.36 47.46 SPEAKER_00  And on the scale of how this is Blindsight, this is sort of...
47.46 52.16 SPEAKER_00  It's closer than I would say the average book is, but it still has a significant gulf.
52.42 52.54 SPEAKER_00  Yeah.
52.54 53.14 SPEAKER_00  Yeah.
53.14 53.30 SPEAKER_01  Yeah.
53.54 62.14 SPEAKER_01  If Blindsight is one Blindsight, and Echopraxia is 0.8 Blindsight, then...
62.14 64.00 SPEAKER_01  This is like 0.6, you know?
64.56 65.54 SPEAKER_01  This is even less.
65.60 67.16 SPEAKER_01  This is like 0.3 Blindsight.
67.34 69.00 SPEAKER_01  Most books are 0.1 or less.
69.00 69.58 SPEAKER_01  I see.
69.78 69.96 SPEAKER_01  Yeah.
69.98 70.92 SPEAKER_01  It's a bad scale.
71.08 71.58 SPEAKER_00  And this is the thing.
71.58 72.86 SPEAKER_01  It describes very little.
72.86 85.30 SPEAKER_00  What you've done is you've insisted on a sort of a schema that, you know, and a series of sort of like rigid laws in order to explain your observations of what stuff is and isn't like Blindsight.
85.70 95.04 SPEAKER_00  Whereas what I'm doing is suggesting to you that things can be like and unlike Blindsight at the same time, that they contain different possibilities.
95.60 97.58 SPEAKER_00  If this wasn't obvious...
97.58 99.64 SPEAKER_00  And then upon realizing that, you became horrified.
99.64 100.14 SPEAKER_00  Yeah, exactly.
100.24 104.38 SPEAKER_00  Because this is a book about quantum mechanics and the invention of quantum mechanics in large part.
104.98 110.14 SPEAKER_01  Also, I'd like to note, it's also another book by a South American author.
110.20 112.24 SPEAKER_01  I will not stop doing this, is the thing.
112.30 128.34 SPEAKER_00  I made this joke when we did a Kill James Bond episode about an OSS Saint-Dix-et movie set in Brazil, where I'm like, for some reason, the continent of South America fills me with a strange sense of yearning and almost loss.
129.22 136.24 SPEAKER_00  Unfortunately, none of the nations in South America have developed a word for this feeling, so I cannot interrogate it further.
137.44 140.10 SPEAKER_00  Yeah, more Chileans, I'm afraid.
140.20 143.02 SPEAKER_00  And there is a little bit of Chile in this book at the end, particularly.
143.02 160.66 SPEAKER_00  But mostly what it is, is a series of profiles of European male scientists from Fritz Haber at the turn of the 20th century through to Schrodinger at its midpoint.
161.46 174.80 SPEAKER_00  As they grapple with knowing too much and finding out too much and sort of unbalancing the world by doing that, the original Spanish title of this translates to a terrible verdure.
175.30 179.00 SPEAKER_00  A verdure here is like greenness, right?
179.12 182.74 SPEAKER_00  Like abundance, like a sort of garden being overrun.
183.14 187.86 SPEAKER_00  And that's going to be a sort of theme that we'll dig into, because there's a lot of climate in this book as well.
