0.00 17.22 SPEAKER_05  we're now we're now recording look at that well fantastic after having that whole discussion of
17.22 22.06 SPEAKER_04  stuff we couldn't say on the mic yes exactly behind the paint wall time to switch gears let
22.06 33.12 SPEAKER_03  me see what's happening in the news i was just this for the benefit of the listener alex is very glam today in the studio we've got a red fur coat we've got a sparkling silver chinese style dress
33.12 38.36 SPEAKER_01  do you know what it is i always have to dress like a boy on stage i wear a t-shirt and jeans and heels
38.36 41.20 SPEAKER_03  and my friend yeah heels classic classic boy style
41.20 48.72 SPEAKER_04  but my friend i remember being in school and i got really ashamed for wearing my british knight's heels
48.72 87.98 SPEAKER_01  i'm just saying it's very you know it's not very feminine and my friend gifted me this lovely silver dress that i've been looking for for years genuinely years it wasn't even in my size i've had it tailored big news i don't feel like i'm in sex in the city and um then i got this fur coat dry cleaned coincidentally at the same time and i went for lunch and i was like you know what i'm gonna wear something nice but now the trash future boys are gonna be scared because i'm gonna turn up like a common day whore at the door it's serving sexy clifford that's what that's what the men want these days the hair is because i got rained on genuinely so i
87.98 93.74 SPEAKER_03  just pinned it to the side clifford you've lost so much weight is it just me or is clifford looking
93.74 96.04 SPEAKER_01  hot clifford's looking pretty ill
96.04 110.22 SPEAKER_03  clifford's got one of those like weird bone cancers that only pure bread dogs get yeah clifford's like a hapsburg dog that's how he got so big that's right he's technically the king of
110.22 117.80 SPEAKER_01  hungary yeah clifford's got some problems um but he's he's soldiering on yeah that's what he's
117.80 122.20 SPEAKER_03  giving that's right yeah and that's why you should really get a rescue rather than buying a clifford
122.20 128.22 SPEAKER_01  yeah definitely don't get and don't get a pure bread i would say if you get a rescue clifford the
128.22 144.04 SPEAKER_04  great thing is you know not only getting a clifford you might get a claim on the throne of pomerania exactly yeah yeah well no that's ruled by very small dogs uh-huh and also was actually never hapsburg territory fair enough um yeah more like a southern germany thing okay it was a whole thing
144.04 157.46 SPEAKER_03  well they were imperially in control of it but never really directly you know yeah you don't um you don't often get a rescue clifford because they're so they're so big that if they if the rspca gets them they just have to humanely destroy them yeah in an aircraft they've not got a cave
157.46 178.90 SPEAKER_04  it's like it's like one of those couches that you can't move out of a flat that has to just be chainsaw yeah weirdly they called the saudi ambassador to try to help out with that calling your landlord and being like yeah what's your pet's policy you've got like a 14 foot high dog what's your pet's what's your pet's policy and also what is your large rubbish disposal policy
178.90 189.52 SPEAKER_01  these are not related questions say you had a couch but it was alive and shitting yeah yeah what would be your he wouldn't need a couch you could just sit on the dog yeah actually that would save you money
189.52 198.62 SPEAKER_03  yeah a lot of people worried like do you have dogs on the sofa do you not have them on the sofa cut out the middle man the dog is the sofa can i just say though imagine the smell oh awful david
198.62 221.72 SPEAKER_04  cronenberg's new movie really it seemed a little less imaginative yeah grooming him you'd need a whole team like people with rakes yeah yeah ladders yeah yeah yeah you'd need like someone who there'd be such a big team you'd need someone whose job isn't even directly cleaning him it's just like project managing other people exactly you need a management consultant yeah exactly you need a doodle
221.72 236.24 SPEAKER_03  who's doing the paws yeah yeah exactly our poor guy's off sick our paws guy is off sick nice thank you it's pretty that's pretty good yeah yeah that's nice
236.24 241.58 SPEAKER_01  yeah for reference the boys both looked at me there with hatred in their eyes i wasn't hatred it was
241.58 255.10 SPEAKER_03  it was an equitable expression you looked at me like you're better than this i would never look at you with hate oh i don't think you're better than that come on i've known you too long if anything you were like that's pretty good someone's been reading you've got a writing team
255.10 261.28 SPEAKER_01  alex is wearing a conspicuous earpiece yeah exactly hang on but do the pause okay yeah yeah
261.28 272.10 SPEAKER_04  yeah yeah i'm ready yeah sorry do you know jack whitehall was in the clifford the big red dog movie i didn't know that it was a film 2021 live action fantasy comedy film directed by walt becker
272.10 278.60 SPEAKER_01  yeah he was the back half what hasn't jack whitehall been in and that relates to all instagram
278.60 285.14 SPEAKER_04  models as well yeah yeah does he have a reputation as a something of a sex a sex i think he's he's
285.14 289.50 SPEAKER_03  um been quite the swordsman in his time he's got that he's got that jimmy neutron hair women
289.50 295.06 SPEAKER_01  love that yeah he's got had a child now though he's settled down oh his latest show i think was
295.06 306.80 SPEAKER_03  called settled down yeah well i mean always a route one guy jack whitehall like let's not let's not beat around the bush yeah oh yeah i have a question go on what's route one mean like uh
306.80 316.66 SPEAKER_04  straight down the line just like no no subtlety just you're not referring to like a particular like stretch of road with sort of very obvious comedy clubs on it another thing um so
316.66 322.62 SPEAKER_03  there's all these like fucking like incredibly northern comedy clubs and they're all like on
