0.00 17.80 SPEAKER_03  welcome back to western kabuki my name is caleb as always i am joined by my co-hosts
17.80 57.26 SPEAKER_01  june how are you doing not so good i lost my life savings on um skins in video games i i spend it all on half naked women's skins and i have i have no money the game's never gonna come out the game's never gonna come out i i lost everything this is i imagine how bad it felt to invest in hawk coin um yeah so i'm really desperate right now if anyone can like help me that's the second time this month you've lost your life savings i'm very easily fooled easy i i i love i keep i keep falling for scams support independent
57.26 80.28 SPEAKER_04  creators you're doing the right thing i try uh alex how you doing pal well unlike june i'm actually really just super excited that um they put the uh assets back in zenwa 7-0 which was going to be a big uh i was outraged and super horny and i'm just glad to see the assets return to the video game
80.28 92.38 SPEAKER_01  yeah we were going to organize uh western kabuki uh uh like uh revolts we were going to have people sign signatures uh like we're going to deliver to their doorstep in a box like all all of the
92.38 95.90 SPEAKER_04  signatures it was going to be a whole thing a martin luther kind of thing where we nail it to their
95.90 103.78 SPEAKER_01  door yeah yeah this is what needs to be changed about the gaming industry so
103.78 107.48 SPEAKER_04  it's a relief to see that uh the assets are no longer transparent
107.48 118.52 SPEAKER_03  um this week we are joined by a special guest uh editor-in-chief of second wind nick calandra
118.52 123.12 SPEAKER_05  how are you doing pal i'm doing pretty good i was just nominated for my first uh award for journalism
123.12 143.96 SPEAKER_03  ever yeah oh my god it's amazing congrats i had a lot of a lot of mutuals on there man i i can't play favorites because i am uh also with with rebecca valentine and and alissa so uh good luck to all three of you and i've done i can't remember who the other uh other person that was in that was but paul tassie but that's right uh good luck to him but a little less because we are not mutuals on twitter
143.96 184.38 SPEAKER_01  that's the hierarchy that's genuinely how it works that's how you know you've made it yeah yeah no just before we get too far i just wanted to i i've just been thinking about this recently like this is also going back before the election but i've been like looking at the like dearth of how many times elon musk was on the campaign trail just talking in front of like trump voters like people in their 50s and 60s and 70s like these old ass people that don't know what a video game is talking like going up in front of them for at least five minutes talking like going like yes i would play the video game and all of a sudden wokeness and it's like what are you doing what are you
184.38 195.66 SPEAKER_04  this is a political rally i don't think i've ever heard you do a uh an elon musk impression before and like you really knocked it out of the park thank you it just came over me it just it hit me
195.66 205.88 SPEAKER_03  i had to do it i know you've wanted to do it in the past so i i'm assuming that took some practice but when you're talking about the top ranked diablo 4 player in the world you have to put some respect
205.88 240.90 SPEAKER_01  on that i know top ranked uh probably if uh wokeness didn't get him probably top path of exile 2 player because of course wokeness as always but i don't know i just love the state of gaming as a whole where like people ring too i saw i love the shield build the shield no healing items in his taskbar maximum intelligence because he's making himself no i just i don't know it's gaming is awesome right now there's people that are normal and play video games because that's what they like doing and then there's people that go in front of uh rallies of 80 year olds complaining about
240.90 257.96 SPEAKER_03  video games which i just think is equally as awesome yeah yeah game gamers is like a as a political constituency is always very fun you don't see that with a lot a lot of like you never see like people like uh i'm a gamer well you know what uh i'm actually a huge tv watcher
257.96 274.22 SPEAKER_01  i'm a filmer i'm a serial binger yeah they they we they need to bring back yellowstone of yellowstone otherwise we're not gonna vote for the democrats yeah joe biden bring back yellowstone did you guys
274.22 293.00 SPEAKER_03  hear that yellowstone i didn't i haven't watched that show but i was supposed to be based and then the show ended up i guess being gay soy and woke because the yellowstone cowboys gave their land to the indigenous people yeah lives one so take that yes spoilers i wasn't done watching no oh well oh fuck
293.00 297.46 SPEAKER_01  now you have to become a reactionary you have to vote for trump now or well i mean it's too late for that
297.46 321.30 SPEAKER_03  next time well to be fair nick uh i've never watched it so i'm sure i botched whatever uh interpretation of that you can you can imagine um let's see uh nick how did you become a capital g gamer tell us about your tell us about your gaming journey sure and was it and and how how many asses
