0.00 29.06 SPEAKER_03  Welcome to Punta Vista.
29.06 30.44 SPEAKER_01  It's a bonus episode.
30.74 32.76 SPEAKER_01  I'm Andrew, and I have a problem.
33.42 37.34 SPEAKER_01  As a proud resident of Tokyo, there's so much to love about living here.
37.86 41.34 SPEAKER_01  Visiting one of our wonderful record stores every weekend to pick up some vinyl.
41.96 43.96 SPEAKER_01  Going to the onsens with my bros.
44.80 49.68 SPEAKER_01  Touring the city to take a shit in all the public bathrooms that feature in the Wim Wenders film Perfect Days.
50.54 52.34 SPEAKER_01  But there's one thing I don't love.
53.18 56.72 SPEAKER_01  Being eaten by the mighty but temperamental king of the monsters, Godzilla.
56.72 62.22 SPEAKER_01  Now I find myself stuck in his tummy with no bottled water and a dwindling phone battery.
62.56 63.94 SPEAKER_01  I hate Mondays!
64.84 67.98 SPEAKER_01  Hey, that I can just make out in the darkness.
68.56 71.68 SPEAKER_01  If it isn't my mild-mannered salaryman friend, Theo.
72.22 78.76 SPEAKER_01  Possibly regretting his decision to spend his adult life getting absolutely fuck-eyed every night at the urging of his boss down to the bank.
79.10 79.78 SPEAKER_01  How's it going, Theo?
79.78 79.90 SPEAKER_01  Ohio.
80.50 80.94 SPEAKER_06  Ohio.
81.70 82.72 SPEAKER_06  Good, good.
85.50 87.14 SPEAKER_06  Am kind of stuck in Godzilla.
87.76 87.96 SPEAKER_00  Yeah.
88.34 89.44 SPEAKER_06  You don't have to go to work tomorrow, though.
90.00 90.16 SPEAKER_06  Yeah.
90.46 94.90 SPEAKER_06  But on the plus side, I went to Tokyo.
95.20 95.82 SPEAKER_06  Beautiful place.
96.22 99.88 SPEAKER_06  Fantastic cuisine from all over the globe, not just Japanese.
100.26 100.52 SPEAKER_06  Oh.
100.62 101.78 SPEAKER_06  Picked up a bolognese.
101.78 102.60 SPEAKER_06  Bolognese.
104.32 108.38 SPEAKER_06  Did take my shirt off to eat it, which is helping me in this environment.
108.68 111.78 SPEAKER_02  This is something that you didn't have to bring into the intro at all.
112.06 115.22 SPEAKER_02  You could have just kept it between us.
115.22 115.48 SPEAKER_02  Okay.
115.84 116.74 SPEAKER_02  You didn't have to mention.
117.28 117.94 SPEAKER_02  Okay, yeah.
117.94 128.62 SPEAKER_01  It's lucky that you had the takeaway container lid clamped on there tight and that, you know, I'm assuming clutched it to yourself as you went down Godzilla's gullet.
129.04 129.40 SPEAKER_06  Absolutely.
130.00 131.94 SPEAKER_06  Got a can of a...
131.94 134.32 SPEAKER_02  Yeah.
134.34 134.66 SPEAKER_02  What have you got?
135.24 139.60 SPEAKER_02  It looks like a 4X Gold from the top, but it might be a Stonewood Pacific Ale, maybe?
139.60 139.86 SPEAKER_02  Yeah.
140.06 141.38 SPEAKER_02  No, it's a GX.
142.62 143.46 SPEAKER_06  It's a what?
143.82 144.04 SPEAKER_06  No.
144.46 146.12 SPEAKER_06  It's Ichinisang G.
146.12 148.14 SPEAKER_06  Oh, fuck.
148.34 148.66 SPEAKER_06  Okay.
150.00 150.52 SPEAKER_00  All right.
150.54 152.28 SPEAKER_06  You didn't know I spoke Japanese for X.
152.28 153.46 SPEAKER_00  I didn't know you spoke Japanese.
153.46 154.42 SPEAKER_00  What's Japanese for X?
155.70 157.24 SPEAKER_06  Hey, Ben, you can beep this one out.
157.28 158.16 SPEAKER_06  I think it's Exu.
158.86 164.66 SPEAKER_02  I'm leaving that in because I think that is how you would render that if you were trying to put it into...
164.66 165.84 SPEAKER_02  Yeah.
167.06 170.78 SPEAKER_01  Of course, I am trying to identify that voice I hear in the dark.
171.14 171.86 SPEAKER_01  Show yourself.
172.44 175.68 SPEAKER_01  Out of the darkness, my phone's flashlight reflects from the glasses.
175.68 177.36 SPEAKER_01  Of a gentle, bearded face.
178.08 184.94 SPEAKER_01  It's a man in very short shorts who looks for all the world like a tourist who has chosen the most incorrect week possible to visit our beautiful city.
185.50 186.06 SPEAKER_01  It's Ben.
186.34 190.10 SPEAKER_01  Ben, is this going to affect the rating that you give Tokyo on TripAdvisor?
190.58 192.96 SPEAKER_02  No, I was actually coming here specifically for this.
193.08 193.26 SPEAKER_02  Oh.
193.26 195.80 SPEAKER_02  I love the Japanese and their beautiful culture.
195.94 198.36 SPEAKER_02  I love the Godzilla films.
198.94 201.12 SPEAKER_02  And I also love being eaten.
201.42 201.66 SPEAKER_02  Yeah.
201.88 202.10 SPEAKER_02  Great.
202.18 203.26 SPEAKER_02  I'm kind of like a war guy.
203.26 203.40 SPEAKER_02  I'm for an Mpreg.
203.88 204.52 SPEAKER_06  So this is...
204.52 206.00 SPEAKER_06  Two great flavors that go together.
206.08 207.32 SPEAKER_02  They do go very well together.
207.40 208.98 SPEAKER_02  I know we've talked about this at length.
208.98 209.20 SPEAKER_02  Have we?
209.20 210.74 SPEAKER_02  But it is kind of like a nice synergy.
211.30 211.50 SPEAKER_02  Have we?
211.50 215.62 SPEAKER_02  But if you have been eaten, you are kind of temporarily in like an Mpreg situation.
215.78 223.58 SPEAKER_02  But I don't know enough about Mpreg to know that if the birthing itself is an important part...
223.58 224.22 SPEAKER_02  Is it a way?
224.36 225.78 SPEAKER_06  You will be birthed from Godzilla.
226.14 226.46 SPEAKER_06  Yep.
226.46 227.36 SPEAKER_06  I've never seen it.
227.46 229.50 SPEAKER_06  I've never seen the birth depicted in Mpreg.
229.64 233.66 SPEAKER_06  I've only seen the kind of like translucent cutaway to the belly.
233.66 233.74 SPEAKER_06  Yeah.
233.86 234.92 SPEAKER_06  Well, I think...
234.92 235.26 SPEAKER_01  The big belly.
235.56 236.34 SPEAKER_01  Sonic smiling.
236.78 245.10 SPEAKER_01  Whether you've been eaten or you are in the Mpreg situation, you will probably be rendered identically in the cutaway that we're all so familiar with.
245.26 245.48 SPEAKER_02  Yes.
245.48 245.78 SPEAKER_02  Yes.
245.90 247.14 SPEAKER_02  For a while, at least.
247.26 247.32 SPEAKER_01  Yeah.
247.32 247.94 SPEAKER_01  You're in there.
248.16 248.58 SPEAKER_01  You're in there.
248.64 252.36 SPEAKER_01  Your knees are up tight to your chest because, honestly, it's tight in here.
252.74 253.02 SPEAKER_01  Yes.
253.02 254.44 SPEAKER_01  You wouldn't think it, given you so.
254.44 257.78 SPEAKER_06  The artist has not depicted me with an umbilical cord.
257.94 258.24 SPEAKER_06  No.
258.52 259.76 SPEAKER_06  Connecting me to Godzilla, though.
259.96 261.78 SPEAKER_01  Faithfully rendered you with no shirt, though.
262.00 263.18 SPEAKER_01  Clutching your bolognese.
264.94 265.66 SPEAKER_02  Tell you what.
265.72 267.10 SPEAKER_02  I've Googled Mpreg birth.
269.50 272.08 SPEAKER_02  And I'm not seeing the birth.
272.34 273.16 SPEAKER_02  I'm just seeing...
273.16 274.34 SPEAKER_02  I guess that's not part of it.
274.40 275.46 SPEAKER_02  It's not part of it.
275.52 275.82 SPEAKER_02  No.
276.38 277.38 SPEAKER_02  It's very strange.
277.98 280.46 SPEAKER_01  It's just that you want the character.
281.46 281.82 SPEAKER_01  Maybe...
281.82 282.76 SPEAKER_06  It's not about the destination.
282.98 283.74 SPEAKER_06  It's about the journey.
283.92 284.20 SPEAKER_01  Yeah.
284.20 284.28 SPEAKER_01  Yeah.
284.36 284.52 SPEAKER_01  Yeah.
284.66 294.24 SPEAKER_01  And we are just speculating here, but maybe if you are a big Mpreg head, in an ideal world, Luigi would just be pregnant indefinitely.
294.66 294.92 SPEAKER_01  Yeah.
294.98 295.60 SPEAKER_01  Forever pregnant.
295.98 296.58 SPEAKER_01  Forever pregnant.
296.80 296.98 SPEAKER_01  Yeah.
297.12 298.06 SPEAKER_01  Forever really pregnant.
298.70 299.28 SPEAKER_01  It is a fantasy.
299.28 313.68 SPEAKER_01  So whenever you check into that fantasy, Luigi's just there at the farmhouse, beautiful green gingham dress, just clutching his big swollen belly, saying, I'm so glad you're back.
314.48 315.02 SPEAKER_01  I've baked fresh bread.
315.02 317.06 SPEAKER_06  Cut away and there's baby Bowser in there.
317.18 318.34 SPEAKER_01  There's baby Bowser in there.
318.60 319.82 SPEAKER_01  I don't know that at the moment.
319.92 320.90 SPEAKER_01  I think it's my baby.
320.90 321.90 SPEAKER_01  Luigi.
321.90 325.98 SPEAKER_01  But if the birth never happens, I don't have to find out about the betrayal with Luigi.
326.24 326.60 SPEAKER_01  All right.
326.60 327.30 SPEAKER_01  And who are you?
328.02 328.52 SPEAKER_01  I'm me.
328.92 329.42 SPEAKER_01  Oh, you're you?
330.02 330.22 SPEAKER_01  Yeah.
330.22 332.18 SPEAKER_01  I'm whoever has the Mpreg finish.
335.14 336.70 SPEAKER_01  I'm just me there with Luigi.
337.18 338.88 SPEAKER_01  I assume everything's been fine while I've been gone.
339.06 339.22 SPEAKER_01  Yep.
339.40 339.60 SPEAKER_01  Yep.
339.96 340.12 None  Yep.
340.78 342.08 SPEAKER_01  No, everything's normal.
342.50 358.32 SPEAKER_06  Now I'm just imagining a husband who's got like a, he's got an Mpreg fantasy on the down low and he's knocked up his wife and he's spending the next nine months going, oh, rubbing her
358.32 360.44 SPEAKER_00  belly. I'm going to be real sad when this is over.
360.68 361.00 SPEAKER_00  He's saying.
361.56 361.86 SPEAKER_00  Yeah.
362.22 362.66 SPEAKER_02  Okay.
363.16 365.46 SPEAKER_06  But the listeners won't be sad when this is over.
365.46 374.58 SPEAKER_02  I know someone who is doing, well, just the other day did a tour of the toilets from Perfect Days.
374.76 374.96 SPEAKER_02  Yep.
375.58 376.68 SPEAKER_02  They all look great, don't they?
376.90 378.14 SPEAKER_02  Those are great looking toilets.
378.30 378.58 SPEAKER_01  You know?
378.88 384.16 SPEAKER_01  Just makes you go, hey, it's a real testament to investing public funds in infrastructure for your city.
384.70 396.58 SPEAKER_02  Well, because the whole, the movie came about because like the city of Tokyo or whatever body was looking after those toilets was like, hey, we'll pay you to make a sort of a short promotional video about these toilets.
397.02 401.86 SPEAKER_02  And then this crazy, whimsical German goes over there and he's like, you know what?
402.16 402.92 SPEAKER_02  Feature film.
404.14 408.16 SPEAKER_02  Heartbreakingly beautiful, achingly beautiful feature film about the toilets.
408.56 416.78 SPEAKER_01  Maybe they had a few false starts though, where they commissioned somebody to make a toilet movie and got it back and went, ah, nope, nope, dump it, dump it.
416.88 418.56 SPEAKER_01  This is not what we meant.
418.96 419.64 SPEAKER_01  They like it too much.
419.64 421.56 SPEAKER_01  This looks like it was filmed on the inside of a toilet.
421.92 422.16 SPEAKER_01  Yeah.
422.16 426.94 SPEAKER_01  Who responds when you say, I'd love to have a movie made about some toilets?
427.18 427.60 SPEAKER_01  A German.
428.12 428.32 SPEAKER_01  Yeah.
428.48 429.38 SPEAKER_01  Well, I mean.
429.70 430.66 SPEAKER_06  A back of the gaijin.
430.90 431.14 SPEAKER_01  Yeah.
