0.00 18.90 SPEAKER_02  Hello everyone and welcome to this, the first free episode of 2024.
18.90 22.72 SPEAKER_06  It's the 2024 one. You made it through another year.
22.82 28.34 SPEAKER_06  Yeah, you've watched the Hootenanny and now you're here. Jules Holland is in the guest chair. Hello Jules.
28.34 36.84 SPEAKER_04  Is it okay if I play a honky-tonk version of Here We Go by Ginseng and we all put our head in our hands and we go, yes that's fine.
36.84 45.84 SPEAKER_06  We've got a fantastic trash shooter here tonight. We've got C6 Steve over in the corner. We've got Jamie Cullum.
45.84 51.14 SPEAKER_04  There's a whole ecosystem of guys living under one rock who you only see at New Year.
51.14 56.84 SPEAKER_04  Who you only ever see in a Hootenanny related context. What does C6 Steve do the rest of the fucking year? I don't know.
56.84 61.54 SPEAKER_04  What does Jules Holland do the rest of the year? Make noise complaints about his neighbors.
61.54 67.34 SPEAKER_04  Which is ironic. Yeah, that's right. So congratulations to 2023 survivors.
67.34 76.34 SPEAKER_04  We're not among them yet. We are recording. That's true. We could all die before 2023 is out and this could be our final message.
76.34 83.28 SPEAKER_04  Which is potentially a really compelling idea. Do you want to do like a Heaven's Gate mass suicide?
84.28 86.38 SPEAKER_04  I don't want to do that one.
86.64 90.12 SPEAKER_06  Riley poisoning the fine recult that he's passing around the table.
90.12 95.92 SPEAKER_02  What I do want to do, however, is say that this is going to be the first half of the episode.
95.92 105.40 SPEAKER_02  We're going to be talking about a few, just a few of the things that have come into the Christmas period for domestic sort of UK politics news.
106.20 115.82 SPEAKER_02  Do a startup and then I'm going to hand over to myself and I will be talking to Dr. Gareth Fern about planning.
115.82 124.24 SPEAKER_02  Because every party, every political party, right? They say the thing that we're going to do in order to fix Britain is we're going to finally fix planning.
124.64 126.26 SPEAKER_02  And that's going to make all the investment happen.
127.10 140.52 SPEAKER_02  And what we're going to talk about with Gareth, and I've already had this conversation, so I do know that this does occur, is establish, okay, well, what would actually, what kind of a change to the way we plan towns and stuff?
140.52 144.24 SPEAKER_02  What would actually be enough to solve the problem that we've got?
144.74 146.42 SPEAKER_02  And I'll give you a hint.
146.78 150.22 SPEAKER_02  It's not, quote unquote, streamlining this process.
150.40 151.98 SPEAKER_02  It's turning into an actual public service.
152.34 153.96 SPEAKER_02  So we're going to talk about what that looks like.
154.22 154.54 SPEAKER_02  How interesting.
154.54 177.30 SPEAKER_02  However, I want to talk a little bit about a hearty further congratulations to Rishi Sunak for single-handedly making global fuel prices smaller and therefore ensuring that his promise to voters to have inflation by sitting around and just waiting for it to do so itself will have work.
