0.00 29.58 SPEAKER_05  Hello and welcome to Punta Vista
29.58 57.24 SPEAKER_09  Episode 378 Our first episode for 2025 I hope you had a good Christmas and New Year Although I will say obviously the Christmas period can be a tough time for some folks For a ton of different reasons And I want to be real with you at the top of the show I had a pretty rough Christmas First of all Viv of the show, my grandma Viv, had another minor stroke She's still with us Ben, it's all right I saw you're, it's all right
57.24 58.00 SPEAKER_05  Yeah, she's still with us
58.00 70.76 SPEAKER_09  And she bounced back pretty good the next day But it always shakes us up There's no joke about that It's just kind of the reality of being 94 years old, right?
72.20 90.40 SPEAKER_09  Yeah Then like in the main, we ended up buying a house in a big hurry In the lead up to Christmas and moving in like a week later And you know, like I'm one of the people that can be in the housing market So don't cry for me You know, it's tough out there for a lot of people
90.40 93.32 SPEAKER_03  I chose the least possible stressful time to do it too
93.32 97.84 SPEAKER_09  But that's right, yeah And it was like crazy disruptive, right?
97.90 142.68 SPEAKER_09  Like especially for the kids Their routines all went out the window And they watched a bunch of TV Since Caitlin and I were always busy like doing something or other And TV turns them into absolute cunts And it was like day three of me being yelled at every fucking waking hour And wanting to drive my car out of the garage and keep driving And our washing machine broke Because I didn't put the fucking moving bolts back in Because I'm a stupid piece of shit And I remember one night we cooked roast chicken and veggies And the kids had none of it And afterwards I'm looking at this butchered chicken on the, you know, on the wet shopping board And I'm going like, I have no idea how to do this I don't know how to clean this up I'm 38 years old
142.68 144.50 SPEAKER_05  I'm thinking I wish that was me Yeah
144.50 152.42 SPEAKER_09  Yeah, I wish someone had killed me Like I'm 38 years old And I can't work out how to get this chicken into a fucking Tupperware container, right?
152.64 157.70 SPEAKER_09  Just like completely like breaking down And I thought, no, you know what?
157.70 162.86 SPEAKER_09  Like you're 38 years old and you've been in therapy most of your adult life You can work this out, right?
162.90 190.18 SPEAKER_09  It's a simple thing So I opened my phone and I hit random album on Plex Amp And it came up with Effloress by Ocean Size And of course it was 7.30 at night So I'd already listened to Effloress once that day So I hit random again And it came up with this album I'm not trying to be funny, Andrew It came up with this album, The Shaming of the True by Kevin Gilbert Which about three people on earth have listened to And like, and Kevin Gilbert was this tragic figure, right?
190.66 210.50 SPEAKER_09  He was in a few bands in the 80s But then notably he was Cheryl Crow's boyfriend And member of the Epidemus Tuesday Night Music Club From her debut record And he co-wrote like a bunch of her songs He's got a writing credit on All I Want to Do And then when she went big She just left them all behind, right?
210.50 221.14 SPEAKER_09  And so he was like destitute for most of his life Right up until his death by accidental suicide in 1996 At the age of 29, right?
221.78 263.96 SPEAKER_09  At which time Genesis was looking to hire him As their replacement vocalist After Phil Collins left the band So like, he's a really tragic guy And Shaming of the True is a concept album About a guy who goes to Hollywood And makes it big And ends up completely hollowed out So it obviously like draws from a bunch of his experiences In Hollywood And it was put together after his death By his friend Nick DeVigilio Based on his demos and notes And you know, it's a bit naff But it's also like sad and beautiful And fun and really angry And when I listen to something like this I don't feel like sad or angry or whatever I don't just feel, I do feel sad, right?
264.06 278.96 SPEAKER_09  But I also feel more human and more connected Like this guy put it all out there And this is how he felt And you know, it's human to feel angry It's okay to feel worthless Because there's also kindness and beauty Coexisting within you, right?
279.10 284.50 SPEAKER_09  And remember, I'm standing in my kitchen Listening to this And suddenly I feel more alive, right?
284.56 302.20 SPEAKER_09  I feel like a real human And it's like a spell's been lifted from me Or at least for like half an hour And if there's any punchline to any of this It's that, you know, occasionally We get messages from people saying Oh, I was going through a really tough time And your show helped me laugh, right?
302.22 318.82 SPEAKER_09  And it's not many I'm not trying to blow smoke up our houses But it does happen from time to time And we don't intend the show To be completely nihilistic But it's like we do all these Batshit stories And sometimes it feels like we're insane Trying to make sense of it But it's the world that's sick It's not us, right?
318.84 354.04 SPEAKER_09  It's not you You're not sick It's the world that's sick And in some way I hope That the show helps you feel More human In some way I'm Theo And my big engorged spider belly Is ready to burst With tens of thousands Of little spider eggs And the pressure on my pussy Is almost unbearable I hate it But I sort of love it And I'm just aching for that release When all those little eggs Are going to slide out And fuck up my web With all my disgusting juices Oh!
354.04 354.44 SPEAKER_05  Oh!
355.88 356.32 SPEAKER_09  Oh!
356.32 368.56 SPEAKER_09  Oh, here they come now And one of them's hatched already It's my good friend Ben Who's desperately trying Not to be eaten By several of his brothers And sisters Before he can jet off And do some disgusting spider stuff Hey, Ben
368.56 379.36 SPEAKER_02  If you decided that 2025 Was the year you were going to start Listening to the podcast Punta Vista And this is the first episode Maybe it's got a funny name Maybe you thought Ooh!
379.78 387.56 SPEAKER_02  That one sounds funny Yeah Thank you for making it To this point so far Really appreciate it I'm a nasty little spider Ooh!
389.06 403.96 SPEAKER_09  Yeah Cool, thanks Uh-oh Here comes my pathetic spider husband Andrew Terrified of being eaten But at the same time Kind of turned on By the prospect And he sounds just like George Takai Hey, buddy Don't Ben
403.96 405.20 SPEAKER_03  How are you feeling?
408.10 414.94 SPEAKER_09  You just turn it on like that I actually feel a little bit hungry After that labour Don't
414.94 422.32 SPEAKER_02  No You have one crack in it And I think it maybe was okay But I think if you try a second one We're putting ourselves In a serious jeopardy
422.32 435.60 SPEAKER_09  And a big uh-oh Because from here All I can see is the bottom Of a big black boot Coming down to crush us all Like the disgusting bugs we are Yay Attached to that boot is Lucy Hi Lucy
435.60 444.02 SPEAKER_06  I don't have to be a nasty little spider Like you guys You're all small and nasty And deserve to be stepped on Okay
444.02 447.74 SPEAKER_03  Jesus Just before I get crushed I say Oh my Okay
447.74 453.38 SPEAKER_02  There it is There it is Okay Woo
453.38 454.54 SPEAKER_04  2025
454.54 457.40 SPEAKER_06  Podcasting's back, baby
457.40 464.06 SPEAKER_03  It's back in a big way Happy New Year's To each and every one of our Beautiful and sensual listeners Jesus fucking Christ
464.06 476.08 SPEAKER_02  Hey, one of the Star Trek movies That had George Takai in it Was called The Undiscovered Country Uh There's another country That is discovered It's the Netherlands It's time For Netherlands Watch
476.08 481.42 SPEAKER_00  Everybody I'm from Holland Isn't that weird?
