0.00 20.00 None  B8-2-res No, B8-2-res.
20.00 23.00 SPEAKER_03  The Atto-res batteries.
23.00 27.00 SPEAKER_03  To-g-for? To-ge-for? Together?
27.00 31.00 SPEAKER_03  Me was trying to save time.
31.00 32.00 SPEAKER_03  Bamba clap.
32.00 37.00 SPEAKER_09  Hello and welcome to Britainology, the show about Britain and why it's like that.
37.00 40.00 SPEAKER_09  And may I add on this occasion, booyakasha.
40.00 44.00 SPEAKER_09  I'm Milo Edwards and I'm joined as ever by my co-host Nate Bethea.
44.00 53.00 SPEAKER_06  Hi, it's me. Yeah, we're going to talk about a figure that is well known to Brits and perhaps, well, less well known to Americans.
53.00 64.00 SPEAKER_06  And I have to admit that I'm not confused by Oli G's popularity and or Sasha Baron Cohen's character's popularity.
64.00 77.00 SPEAKER_06  But because of the period in which this was at its apex of popularity, I can recall encountering it as a teenager in America and being so incredibly confused.
77.00 78.00 SPEAKER_06  Yeah.
78.00 87.00 SPEAKER_06  And now as an adult who's lived in Britain for over five years now going and encountering it again, I think I understand it about 5% more.
87.00 90.00 SPEAKER_06  Not that I can't understand the slang or the fucking way he talks.
90.00 91.00 SPEAKER_06  Yeah, yeah, yeah.
91.00 112.00 SPEAKER_06  But the whole thing, the whole thing, I just, the one thing I will say about, about Sasha Baron Cohen is that because of the popularity of the Borat films in America, particularly the first Borat film, he's much more of a known quantity to the point where like he couldn't really do the Borat approach in America anymore because too many people recognized him.
112.00 119.00 SPEAKER_06  So in that regard, because of that popularity, his earlier stuff was then more people learned about it.
119.00 120.00 SPEAKER_06  Yeah, yeah.
120.00 134.00 SPEAKER_06  But all I can say is that my first encounter with Ali G was back because Madonna put out an album in like 98, the album Ray of Light that was like a big, big, big comeback for her and had tons of huge hits on it.
134.00 141.00 SPEAKER_06  And so for a while, her subsequent stuff was also being very prominently featured back when MTV VH1 played music videos more.
141.00 142.00 SPEAKER_06  Yeah.
142.00 149.00 SPEAKER_06  And she put out the song music in 2000 and in the music video for the song music, Ali G is the limo driver.
149.00 151.00 SPEAKER_06  And it's Sasha Baron Cohen playing Ali G.
151.00 158.00 SPEAKER_06  And like, it's just, I remember watching this as like a 15 or 16 year old American be like, what, who the fuck is that?
158.00 159.00 SPEAKER_06  What's going on here?
159.00 162.00 SPEAKER_09  It's the fucking dialogue at the start in the, in the limo.
