0.00 15.98 SPEAKER_02  Hi everyone, welcome to this episode of TF.
16.64 17.54 SPEAKER_02  It's the free one.
18.14 20.32 SPEAKER_02  That's not Milo saying it's the free one.
20.36 22.48 SPEAKER_03  No, in an alarmingly sexual voice.
22.74 25.70 SPEAKER_03  It's just me in my normal, not alarmingly sexual voice.
26.10 27.16 SPEAKER_03  Although I do try it, yeah.
27.16 29.56 SPEAKER_03  It's like cold, so it's a little bit husky and a little bit bassy.
29.56 31.38 SPEAKER_03  It's like, it's the free one.
31.66 33.44 SPEAKER_00  Let me try it in my best sexual voice.
33.64 34.00 SPEAKER_00  Please.
34.84 37.14 SPEAKER_00  It's the free one.
38.24 38.98 SPEAKER_00  Pretty good.
39.42 40.68 SPEAKER_02  It's the free one.
41.24 41.92 SPEAKER_02  That's right.
42.36 44.30 SPEAKER_02  You've heard it nine or ten times.
44.44 45.74 SPEAKER_02  It is indeed the free one.
46.46 47.20 SPEAKER_02  It has your money.
48.28 52.24 SPEAKER_02  Well, yeah, we usually do that at the end, but there's a Patreon, $5 a month.
52.40 52.82 SPEAKER_02  No, no, no.
53.96 55.50 SPEAKER_02  Let's do the show, everybody.
55.50 59.40 SPEAKER_02  We got a classic set of things.
59.40 60.32 SPEAKER_02  We got news.
60.52 66.34 SPEAKER_02  I found the easiest startup to break down and present.
66.82 69.50 SPEAKER_02  And it's just, it's like someone started the company.
69.64 72.54 SPEAKER_02  Well, they started it to make money, but it feels like they started it for us.
72.90 73.46 SPEAKER_03  Perfect.
73.46 73.58 SPEAKER_03  Perfect.
73.98 93.52 SPEAKER_02  But first, I'd like to add another folio to our book, another folio to our bookshelf of Rishi Sunak showing us what a Ron DeSantis presidency and general election campaign would have been like.
93.52 95.56 SPEAKER_03  Yeah, I mean, it's an interesting comparison.
95.68 99.70 SPEAKER_03  They are both kind of like similarly rizzless people, you know?
100.56 101.18 SPEAKER_03  Well, they are.
101.54 103.44 SPEAKER_03  So this is- Weirdly insecure.
103.44 107.80 SPEAKER_02  So there was this, I think this is a perfect example of that.
108.22 110.90 SPEAKER_02  There was this sort of little to-do.
110.90 112.82 SPEAKER_02  I mean, the things I, you know, keeping an eye on.
113.64 125.36 SPEAKER_02  Of no sort of real significance, but sort of just what a window into this sort of degraded life of Sunak as not living as a billionaire, but instead having to be an MP and prime minister.
126.02 132.90 SPEAKER_03  I mean, to be fair, he chose to do this, you know, in pursuit of being the head of government of the United Kingdom.
132.90 143.98 SPEAKER_03  Not a fun country to be the head of government of, but in pursuit of that power, he chose to, like, have to live here and not live like a billionaire, but instead live like a senior politician.
144.58 158.82 SPEAKER_02  So Rishi Sunak has, as part of his, like, you know, campaign, he's in campaign mode, the conservatives put up this website where you could basically get a personal video from the prime minister by providing your contact details.
158.82 160.28 SPEAKER_02  So, like, you know, Riley Quinn.
160.78 161.76 SPEAKER_03  Hello, Alice.
162.02 162.84 SPEAKER_03  You're so good.
162.90 164.68 SPEAKER_03  At turning me on.
165.84 170.26 SPEAKER_02  Then revealing whether the NHS, the economy, or immigration is your priority.
170.60 172.12 SPEAKER_02  And then, you know, Rishi will be-
172.12 178.30 SPEAKER_03  What if my priority is none of those three, you know? I want him in the booth recording a sort of Baldur's Gate 2 level of voice lines.
178.82 185.88 SPEAKER_00  What if it, I mean, what if, like, your main issue is the bins and you find that your prime minister- What if your prime minister doesn't care about your bins?
