0.00 19.66 SPEAKER_01  Welcome back to Western Kabuki. My name is Caleb. As always, I am joined by my co-hosts,
19.66 20.58 SPEAKER_02  June. How are you doing?
21.36 37.58 SPEAKER_04  I'm great. We're living in the era of Doge. Big time for Doge, big time for government shutdowns. It's wonderful. Oh God, I cannot wait every day just to wake up and see what horrors await us. I'm so excited. This is everything I've always wanted.
40.10 54.04 SPEAKER_04  Yeah. Alex? I don't have anything funny to rip on. Every time I look at my phone, I just feel worse. Everything is real bad. Things are bad. Yeah, sorry to start this off with like, yeah, things fucking suck.
54.04 57.34 SPEAKER_02  I'll be real. Every time you do something like that, I usually have a quick little retort.
57.34 66.60 SPEAKER_02  I'm tired. All my holiday stuff is already done. I just got home and I'm just, yeah, everything is bad. I wish I was funnier. Sorry. Alex, how are you doing, pal?
67.50 71.78 SPEAKER_03  Well, I am in a bathroom in Vancouver recording this.
72.78 74.46 SPEAKER_03  Let's get the tour of the setup, please.
74.56 80.76 SPEAKER_03  Okay, here we go. So there's the, that's a blanket I've hung on the shower door so that it's- Very nifty.
81.12 81.32 SPEAKER_03  Yeah.
81.32 81.72 SPEAKER_04  Beautiful.
81.72 96.18 SPEAKER_03  I moved like a little stool from like a sitting area in here. So I'm right next to the toilet and I've got my computer on a garbage can. And I'm just, I'm just facing the corner like the end of the Blair Witch Project.
96.72 100.00 SPEAKER_03  Trying to get as little reverberation going as possible.
100.68 103.62 SPEAKER_02  Ladies and gentlemen, that's your Patreon dollars at work right there.
103.62 109.14 SPEAKER_04  This is how hard it is to be a podcaster. This is what we go through. This is the torture.
109.44 112.10 SPEAKER_03  Podcasting is art. And you know what? We suffer for this.
112.10 122.12 SPEAKER_02  This week we're joined by a very special guest, Megan Romer, who is one of the, you said co-chairs is the title.
122.40 122.62 SPEAKER_00  Yep.
122.94 126.64 SPEAKER_02  Of National Democratic Socialists of America. How are you doing?
127.08 128.02 SPEAKER_00  I'm doing well. How are you?
128.44 129.66 SPEAKER_04  Thank you so much for joining us.
129.80 130.92 SPEAKER_00  Yeah, thanks for having me.
131.56 157.48 SPEAKER_04  Yeah, no, this is kind of like a, I mean, I'm sure pretty much everyone that's not like a psychopath is kind of in the position right now where it's like, we wish, like, we wish we, the world wasn't going the way it was going. But what better time than to like recalibrate like strategy and kind of like take, like look inward and be like, what's like, what are we doing? What should we do? Like, what can we change? What kind of new things should we do?
